channel_id,direction,direction2,entry_points,entry_type,message_id,raw_message,stop_loss,symbol,timestamp,tp1,tp2,tp3,tp4
-1001552516320,SELL,SELL,"[42100.0, 42300.0]",limit,9804,"US30 SELL limit from 42100 and SELL limit from 42300
Tp1 @ 41900 1
Tp2 @ 41600 2
Tp3 @ 41300 3
Tp4 @ 41000 0
Sl    @ 42500 ",42500.0,US30,2025-05-11T20:34:19+00:00,41900.0,41600.0,41300.0,41000.0
-1001552516320,SELL,SELL,"[3355.0, 3365.0]",limit,9803,"GOLD SELL limit from 3355 and SELL limit from 3365
Tp1 @ 3345 1
Tp2 @ 3335 2
Tp3 @ 3325 3
Tp4 @ 3315 0
Sl    @ 3375 ",3375.0,GOLD,2025-05-11T20:34:19+00:00,3345.0,3335.0,3325.0,3315.0
-1001552516320,BUY,BUY,"[19350.0, 19150.0]",limit,9802,"US100 BUY limit from 19350 and BUY limit from 19150
Tp1 @ 19600 1
Tp2 @ 19900 2
Tp3 @ 20200 3
Tp4 @ 20500 4
Sl    @ 18900 ",18900.0,US100,2025-05-11T20:34:19+00:00,19600.0,19900.0,20200.0,20500.0
-1001552516320,SELL,SELL,"[23900.0, 24100.0]",limit,9801,"DAX 40 SELL limit from 23900 and SELL limit from 24100
Tp1 @ 23700 1
Tp2 @ 23400 2
Tp3 @ 23100 3
Tp4 @ 22800 0
Sl    @ 24300 ",24300.0,DAX 40,2025-05-11T20:34:19+00:00,23700.0,23400.0,23100.0,22800.0
-1001552516320,BUY,BUY,"[23050.0, 22850.0]",limit,9800,"DAX 40 BUY limit from 23050 and BUY limit from 22850
Tp1 @ 23300 1
Tp2 @ 23600 2
Tp3 @ 23900 3
Tp4 @ 24200 4
Sl    @ 22600 ",22600.0,DAX 40,2025-05-11T20:34:19+00:00,23300.0,23600.0,23900.0,24200.0
-1001552516320,BUY,BUY,"[37200.0, 37000.0]",limit,9799,"NIKKEI BUY limit from 37200 and BUY limit from 37000
Tp1 @ 37400 1
Tp2 @ 37700 2
Tp3 @ 38000 3
Tp4 @ 38300 4
Sl    @ 36800 ",36800.0,NIKKEI,2025-05-11T20:34:19+00:00,37400.0,37700.0,38000.0,38300.0
-1001552516320,SELL,SELL,"[38300.0, 38500.0]",limit,9798,"NIKKEI SELL limit from 38300 and SELL limit from 38500
Tp1 @ 38100 1
Tp2 @ 37800 2
Tp3 @ 37500 3
Tp4 @ 37200 0
Sl    @ 38700 ",38700.0,NIKKEI,2025-05-11T20:34:19+00:00,38100.0,37800.0,37500.0,37200.0
-1001552516320,SELL,SELL,"[62.1, 62.7]",limit,9797,"OIL SELL limit from 62.1 and SELL limit from 62.7
Tp1 @ 61.6 1
Tp2 @ 61.0 2
Tp3 @ 60.4 3
Tp4 @ 59.8 4
Sl    @63.3  ",63.3,OIL,2025-05-11T20:34:19+00:00,61.6,61.0,60.4,59.8
-1001552516320,SELL,SELL,"[0.549, 0.555]",limit,9796,"AUDCHF SELL limit from 0.549 and SELL limit from 0.555
Tp1 @ 0.544 1
Tp2 @ 0.538 2
Tp3 @ 0.532 3
Tp4 @ 0.526 0
Sl    @ 0.561 ",0.561,AUDCHF,2025-05-11T20:34:19+00:00,0.544,0.538,0.532,0.526
-1001552516320,BUY,BUY,"[92.9, 92.3]",limit,9795,"AUDJPY BUY limit from 92.9 and BUY limit from 92.3
Tp1 @ 93.4 1
Tp2 @ 94.0 2
Tp3 @ 94.6 3
Tp4 @ 95.2 4
Sl    @ 91.7 ",91.7,AUDJPY,2025-05-11T20:34:19+00:00,93.4,94.0,94.6,95.2
